# https://pt.wikipedia.org/wiki/Lista_de_institui%C3%A7%C3%B5es_de_ensino_superior_do_Brasil
# 31/02/2019
sigla	nome
ABMDP II	Academia de Bombeiro Militar Dom Pedro II
ACE	Associação Catarinense de Ensino
AEMS	Faculdades Integradas de Três Lagoas
AESA	Anhanguera Educacional
AESPI	Associação de Ensino Superior do Piauí
AFA	Academia da Força Aérea
ALFA	Faculdade Alves Faria
ALIANÇA	Faculdade Aliança
AMAN	Academia Militar de Agulhas Negras
APM-MG	Academia de Polícia Militar de Minas Gerais
APMBB	Academia de Polícia Militar do Barro Branco
APMDJVI	Academia de Polícia Militar Dom João VI
ASMEC	Associação Sul Mineira de Educação e Cultura
ASPER	Associação Paraibana de Ensino Renovado
AVEC	Associação Vilhenense de Educação e Cultura
BANDTEC	Faculdade de Tecnologia Bandeirantes
BSP	Business School São Paulo
CAMPO REAL	Faculdade Campo Real
CASTELLI	Escola Superior de Hotelaria Castelli
CATHEDRAL	Faculdades Cathedral-Barra do Garças
CBM	Centro Universitário Barão de Mauá
CEAMA	Centro de Educação da Amazônia
CEAP	Centro de Ensino Superior do Amapá
CECON	Centro Educacional Conceição Nunes
CEFET-MG	Centro Federal de Educação Tecnológica de Minas Gerais
CEFET/RJ	Centro Federal de Educação Tecnológica Celso Suckow da Fonseca
CELSO LISBOA	Centro Universitário Celso Lisboa
CENSI	Centro de Ensino Superior de Itabira
CENTEC	Falcudade de Tecnologia CENTEC (Na prática, é como se fosse estadual)
CESAT	Escola de Ensino Superior Anísio Teixeira
CESCAGE	Centro de Ensino Superior dos Campos Gerais
CESF	Centro de Ensino Superior Cenecista de Farroupilha
CESMAC	Centro de Estudos Superiores de Maceió
CEST	Faculdade Santa Terezinha (São Luís)
CESUC	Centro de Ensino Superior de Catalão
CESUFOZ	Centro de Ensino Superior de Foz do Iguaçu
CESUMAR	Centro Universitário de Maringá
CESUPA	Centro Universitário do Pará
CESV	Centro de Ensino Superior de Vitória
CET	Centro de Educação Tecnológico
CEUB	Centro Universitário de Brasília
CEULJI/ULBRA	Centro Universitário Luterano de Ji-Paraná
CEULP/ULBRA	Centro Universitário Luterano de Palmas
CEUNSP	Centro Universitário Nossa Senhora do Patrocínio
CEUT	Centro de Ensino Unificado de Teresina
CIABA	Centro de Instrução Almirante Braz de Aguiar
CIAGA	Centro de Instrução Almirante Graça Aranha
CLARETIANO	centro universitário
CNECSAN	Faculdade CNEC Santo Ângelo
CUEA	Centro Universitário Eaprenda Elearning
CUFSA	Centro Universitário Fundação Santo André
CUSC	Centro Universitário São Camilo
Cathedral	Faculdades Cathedral
Cesf	Instituto de Ensino Superior Fucapi
Ciesa	Centro Universitário de Ensino Superior do Amazonas
DEVRY	DeVry João Pessoa
DOCTUM	Rede de Ensino Doctum
DOMPEDRO	Faculdades Integradas Dom Pedro II
EDUVALE	Faculdade de Ciências Sociais Aplicadas do Vale do São Lourenço
EEK	Escola de Engenharia Kennedy
EEP/FUMEP	Escola de Engenharia de Piracicaba
EEWB	Escola de Enfermagem Wenceslau Braz
EMESCAM	Escola Superior de Ciências da Santa Casa de Misericórdia de Vitória
EN	Escola Naval
ENCE	Escola Nacional de Ciências Estatísticas
ESAC	Escola Superior de Aviação Civil
ESAGS	Escola Superior de Administração e Gestão
ESAMAZ	Escola Superior da Amazônia
ESBJ	Faculdade Maurício de Nassau
ESCS	Escola Superior de Ciências da Saúde
ESDHC	Escola Superior Dom Helder Câmara
ESEFIC	Escola Superior de Cruzeiro "Prefeito Hamilton Vieira Mendes"
ESEFJ	Escola Superior de Educação Física de Jundiaí
ESFA	Escola Superior São Francisco de Assis
ESMAC	Escola Superior Madre Celeste
ESMARGS	Escola Superior de Música e Artes do Rio Grande do Sul
ESPM	Escola Superior de Propaganda e Marketing
ESPM-RIO	Escola Superior de Propaganda e Marketing
EST	Faculdades EST
ESTÁCIO	Faculdade Estácio de Sergipe
ESTÁCIO FAP	Estácio de Sá Faculdade do Pará
ESTÁCIO FIC	Faculdade Integrada do Ceará
Esbam	Escola Superior Batista do Amazonas
Estácio	Estácio Atual
FA	Faculdade Atlântico
FA7	Faculdade 7 de Setembro
FAA	Faculdade Anhanguera de Anápolis
FAA & IESA	Associação de Ensino Superior de Alagoas
