"isxn"	"titulo17"	"q17"
"23280662"	"# ISOJ JOURNAL"	"C"
"22380272"	"#10.ART"	"NP"
"21775141"	"(N.T.) REVISTA LITERÁRIA EM TRADUÇÃO"	"C"
"22375953"	"(RE) PENSANDO DIREITO"	"B4"
"23187344"	"@RQUIVO BRASILEIRO DE EDUCAÇÃO"	"C"
"24093823"	"[C]COMPASSESWORLD: THE ARCHITECTURE AND INTERIOR DESIGN INTERNATIONAL NETWORK | MIDDLE EAST"	"NP"
"24694312"	"[IN] TRANSITION"	"B2"
"19839537"	"14º"	"NP"
"1981030X"	"19&20 (RIO DE JANEIRO)"	"B1"
"23179953"	"1ª ANÁLISE - SEADE"	"NP"
"00942898"	"2010 42ND SOUTHEASTERN SYMPOSIUM ON SYSTEM THEORY (SSST)"	"NP"
"22364285"	"20ª. COMPÓS"	"NP"
"20531583"	"2D MATERIALS"	"A2"
"22376143"	"2º CONGRESSO BRASILEIRO DE ENGENHARIA DE PRODUÇÃO"	"NP"
"22378758"	"2º SIMPÓSIO INTERNACIONAL DE ENSINO DE LÍNGUA PORTUGUESA"	"B1"
"21905738"	"3 BIOTECH"	"A4"
"16682939"	"30-60 CUADERNO LATINOAMERICANO DE ARQUITECTURA"	"C"
"23297662"	"3D PRINTING AND ADDITIVE MANUFACTURING"	"A2"
"23297670"	"3D PRINTING AND ADDITIVE MANUFACTURING (ONLINE)"	"A2"
"16194500"	"4OR (BERLIN)"	"A2"
"18081142"	"5% ARQUITETURA + ARTE"	"A4"
"21758182"	"53 CONGRESSO BRASILEIRO DO CONCRETO - IBRACON 2011"	"C"
"21758174"	"54 CONGRESSO BRASILEIRO DO CONCRETO CBC2011"	"C"
"21758132"	"978-85-98936-04-8"	"NP"
"25256556"	"A (IN)AFASTABILIDADE DOS DIREITOS FUNDAMENTAIS NO ÂMBITO DAS RELAÇÕES PRIVADAS."	"B4"
"01047922"	"A AGUA EM REVISTA"	"C"
"22366695"	"A BARRIGUDA: REVISTA CIENTÍFICA"	"B3"
"25948245"	"A BRUXA"	"C"
"08711097"	"A CIDADE (PORTALEGRE)"	"C"
"22370455"	"A COMUNICAÇÃO DIALÓGICA ENTRE UNIVERSIDADE E COMUNIDADE"	"B4"
"15487083"	"A CONTRACORRIENTE (RALEIGH, N.C.)"	"B3"
"21451958"	"A CONTRATIEMPO"	"C"
"25949675"	"A COR DAS LETRAS"	"A3"
"14158973"	"A COR DAS LETRAS (UEFS)"	"A3"
"00117641"	"A DEFESA NACIONAL"	"B4"
"14136090"	"A ECONOMIA EM REVISTA"	"B3"
"22362029"	"A ECONOMIA EM REVISTA - AERE"	"B3"
"19836422"	"A FÍSICA NA ESCOLA (IMPRESSO)"	"B1"
"15578100"	"A JOURNAL OF INTEGRATIVE BIOLOGY"	"A4"
"00239135"	"A LAVOURA (RIO DE JANEIRO)"	"C"
"19841035"	"A LEITURA: CADERNO DA ESCOLA SUPERIOR DE MAGISTRATURA DO ESTADO DO PARÁ"	"C"
"21752516"	"A MARGEM: REVISTA ELETRÔNICA DE CIÊNCIAS HUMANAS, LETRAS E ARTES"	"B3"
"16473248"	"A PÁGINA DA EDUCAÇÃO"	"NP"
"22364536"	"A PALAVRADA"	"C"
"21763356"	"A PALO SECO: ESCRITOS DE FILOSOFIA E LITERATURA"	"C"
"21756104"	"A PESTE: REVISTA DE PSICANÁLISE E SOCIEDADE"	"C"
"2319037X"	"A REVISTA EM FOCO"	"C"
"16760336"	"A TERCEIRA IDADE"	"B4"
"21751951"	"A VIDA DE QUEM NÃO MORRE"	"C"
"15163210"	"A&C. REVISTA DE DIREITO ADMINISTRATIVO & CONSTITUCIONAL (IMPRESSO)"	"A2"
"24485764"	"A&H"	"B2"
"23626089"	"A&P CONTINUIDAD"	"A4"
"00445592"	"A. RIVISTA ANARCHICA"	"C"
"00946354"	"A.A.N.A. JOURNAL"	"A3"
"10283072"	"AAA. ARCHIVOS DE ARQUITECTURA ANTILLANA"	"C"
"15597776"	"AACN ADVANCED CRITICAL CARE"	"B1"
"12321966"	"AAEM. ANNALS OF AGRICULTURAL AND ENVIRONMENTAL MEDICINE"	"B3"
"01491423"	"AAPG BULLETIN (PRINT)"	"A1"
"15221059"	"AAPS PHARMSCI"	"A3"
"15309932"	"AAPS PHARMSCITECH"	"A3"
"23753803"	"AASCIT COMMUNICATIONS"	"C"
"23811285"	"AASCIT JOURNAL OF HEALTH (ONLINE)"	"C"
"15328813"	"AATCC REVIEW"	"C"
"07470088"	"ABA JOURNAL"	"B1"
"02136252"	"ABACO (GIJÓN)"	"A4"
"00013072"	"ABACUS (SYDNEY. PRINT)"	"B1"
"23169451"	"ABAKÓS"	"B2"
"17841283"	"ABC TAXA"	"C"
"23188219"	"ABC: IMAGEM CARDIOVASCULAR"	"C"
"01026720"	"ABCD. ARQUIVOS BRASILEIROS DE CIRURGIA DIGESTIVA"	"B1"
"23184965"	"ABCS HEALTH SCIENCES"	"A3"
"23578114"	"ABCS HEALTH SCIENCES"	"A3"
"19804814"	"ABCUSTOS (SÃO LEOPOLDO, RS)"	"B3"
"09428925"	"ABDOMINAL IMAGING"	"A3"
"23660058"	"ABDOMINAL RADIOLOGY (ONLINE)"	"B1"
"25960873"	"ABEÁFRICA"	"B3"
"22383026"	"ABEHACHE"	"B3"
"15180581"	"ABEI JOURNAL (SÃO PAULO)"	"C"
"25270605"	"ABIODUM"	"C"
"24710938"	"AB-ORIGINAL. JOURNAL OF INDIGENOUS STUDIES AND FIRST NATIONS AND  FIRST PEOPLES' CULTURES"	"B3"
"18098630"	"ABRAMET. ASSOCIAÇÃO BRASILEIRA DE MEDICINA DE TRÁFEGO"	"C"
"19842090"	"ABRIL (NITERÓI)"	"B3"
"20148534"	"ABRIU: TEXTUALITY STUDIES ON BRAZIL, GALICIA AND PORTUGAL"	"B1"
"18079792"	"ABSTRACTA : LINGUAGEM, MENTE E AÇÃO (NITERÓI)"	"B3"
"00657727"	"ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY"	"C"
"10602011"	"ABSTRACTS OF THE GENERAL MEETING OF THE AMERICAN SOCIETY FOR MICROBIOLOGY"	"NP"
"25266675"	"ABYA-YALA: REVISTA SOBRE ACESSO À JUSTIÇA E DIREITOS NAS AMÉRICAS"	"C"
"25953915"	"ACÁCIA"	"C"
"19814763"	"ACADEMIA - REVISTA DE DIVULGAÇÃO CIENTÍFICA EM CIÊNCIAS JURÍDICAS E SOCIAIS"	"C"
"16763769"	"ACADEMIA (ACADEMIA DE CIÊNCIAS SOCIAIS DO CEARÁ)"	"C"
"10128255"	"ACADEMIA (CARACAS)"	"A3"
"22411402"	"ACADEMIA (ONLINE)"	"B4"
"23157739"	"ACADEMIA JOURNAL OF AGRICULTURAL RESEARCH"	"B4"
"23157747"	"ACADEMIA JOURNAL OF BIOTECHNOLOGY"	"C"
"23157704"	"ACADEMIA JOURNAL OF EDUCATIONAL RESEARCH"	"C"
"2315778X"	"ACADEMIA JOURNAL OF ENVIRONMENTAL SCIENCE"	"C"
"23157720"	"ACADEMIA JOURNAL OF MEDICINAL PLANTS"	"C"
"23157771"	"ACADEMIA JOURNAL OF MICROBIOLOGY RESEARCH"	"C"
"23157712"	"ACADEMIA JOURNAL OF SCIENTIFIC RESEARCH"	"C"
"10696563"	"ACADEMIC EMERGENCY MEDICINE"	"A1"
"22813993"	"ACADEMIC JOURNAL OF INTERDISCIPLINARY STUDIES"	"B4"
"24747521"	"ACADEMIC JOURNAL OF PEDIATRICS E NEONATOLOGY"	"C"
"20793456"	"ACADEMIC JOURNAL OF SURINAME"	"B4"
"10402446"	"ACADEMIC MEDICINE"	"A1"
"18762859"	"ACADEMIC PEDIATRICS (PRINT)"	"A2"
"10429670"	"ACADEMIC PSYCHIATRY"	"A2"
"10766332"	"ACADEMIC RADIOLOGY"	"A3"
"23181494"	"ACADÊMICO MUNDO"	"B3"
"16310691"	"ACADEMIE DES SCIENCES. COMPTES RENDUS. BIOLOGIES"	"A2"
"18069495"	"ACADEMUS: REVISTA CIENTÍFICA DA SAÚDE"	"B4"
"15282686"	"ACADEMY OF ENTREPRENEURSHIP JOURNAL"	"A4"
"00014265"	"ACADEMY OF GENERAL DENTISTRY"	"C"
"21516561"	"ACADEMY OF MANAGEMENT ANNUAL MEETING PROCEEDINGS"	"B4"
"15438643"	"ACADEMY OF MANAGEMENT PROCEEDINGS"	"NP"
"10956298"	"ACADEMY OF MARKETING STUDIES JOURNAL"	"A4"
"19396104"	"ACADEMY OF STRATEGIC MANAGEMENT JOURNAL"	"B1"
"23586559"	"ACANTO EM REVISTA"	"B4"
"15197859"	"AÇÃO ERGONÔMICA"	"C"
"22380701"	"AÇÃO MIDIÁTICA - ESTUDOS EM COMUNICAÇÃO, SOCIEDADE E CULTURA"	"B2"
"01328077"	"ACARINA: RUSSIAN JOURNAL OF ACAROLOGY"	"B1"
"0044586X"	"ACAROLOGIA (LA VARENNE-SUR-SEINE)"	"B1"
"00014575"	"ACCIDENT ANALYSIS AND PREVENTION"	"A1"
"08105391"	"ACCOUNTING AND FINANCE (PARKVILLE. PRINT)"	"A2"
"1541115X"	"ACCOUNTING DEPARTMENT MANAGEMENT REPORT"	"C"
"09639284"	"ACCOUNTING EDUCATION: AN INTERNATIONAL JOURNAL"	"A2"
"01559982"	"ACCOUNTING FORUM (ADELAIDE. PRINT)"	"A2"
"10686452"	"ACCOUNTING TECHNOLOGY"	"NP"
